City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,73.15,86,95,18.28,PN,1699915953
1,khandyga,62.6667,135.6,-27.72,100,67,2.86,RU,1699915953
2,puerto ayora,-0.7393,-90.3518,84.16,92,70,5.01,EC,1699915953
3,bilibino,68.0546,166.4372,-19.21,100,100,4.65,RU,1699915948
4,funafuti,-8.5243,179.1942,82.4,100,75,10.36,TV,1699915954
5,port-aux-francais,-49.35,70.2167,44.83,96,100,39.66,TF,1699915439
6,polyarnyy,69.1989,33.4478,16.83,95,100,1.79,RU,1699915615
7,ilulissat,69.2167,-51.1,24.82,63,100,14.97,GL,1699915597
8,greymouth,-42.4667,171.2,57.49,96,100,16.69,NZ,1699915955
9,yorkton,51.2167,-102.4677,37.24,70,100,12.66,CA,1699915679
10,penha,-26.7694,-48.6458,74.89,100,40,6.91,BR,1699915955
11,saint-pierre,-21.3393,55.4781,72.57,64,82,8.05,RE,1699915955
12,port augusta,-32.5,137.7667,70.95,50,55,15.77,AU,1699915955
13,santa cruz,-17.8,-63.1667,89.65,55,20,13.8,BO,1699915955
14,puerto natales,-51.7236,-72.4875,38.32,71,53,11.65,CL,1699915956
15,patong,7.8961,98.2966,78.94,79,100,13.42,TH,1699915681
16,bel ombre,-4.6167,55.4167,82.24,78,40,5.75,SC,1699915956
17,grytviken,-54.2811,-36.5092,36.55,98,100,7.31,GS,1699915956
18,waitangi,-43.9535,-176.5597,55.49,85,3,21.52,NZ,1699915820
19,saint-philippe,-21.3585,55.7679,71.19,83,68,6.91,RE,1699915956
20,bethel,41.3712,-73.414,43.65,67,94,1.01,US,1699915485
21,mashava,-20.0367,30.4823,66.56,66,12,10.33,ZW,1699915957
22,qaqortoq,60.7167,-46.0333,19.49,95,100,2.98,GL,1699915957
23,nadi,-17.8,177.4167,86.0,66,75,11.5,FJ,1699915957
24,burutu,5.3509,5.5076,78.42,87,99,4.05,NG,1699915957
25,udachny,66.4167,112.4,19.45,92,100,8.88,RU,1699915957
26,stanley,54.868,-1.6985,47.79,87,20,23.02,GB,1699915957
27,st. john's,47.5649,-52.7093,32.97,80,100,5.75,CA,1699915892
28,west island,-12.1568,96.8225,78.78,83,75,9.22,CC,1699915958
29,codrington,-38.2667,141.9667,58.32,64,100,6.33,AU,1699915958
30,talnakh,69.4865,88.3972,9.21,94,100,13.44,RU,1699915958
31,blackmans bay,-43.0167,147.3167,57.72,50,73,1.99,AU,1699915958
32,fort bragg,35.139,-79.006,60.64,56,0,4.61,US,1699915959
33,paphos,34.7667,32.4167,64.18,82,20,8.05,CY,1699915959
34,thompson,55.7435,-97.8558,28.56,86,100,6.91,CA,1699915665
35,anadyr,64.75,177.4833,10.9,78,38,26.84,RU,1699915959
36,rio grande,-32.035,-52.0986,68.11,95,100,13.29,BR,1699915959
37,tolanaro,-25.0319,46.9987,70.18,86,29,4.59,MG,1699915960
38,invercargill,-46.4,168.35,65.01,54,38,11.01,NZ,1699915960
39,tumayr,25.7039,45.868,70.93,43,100,7.87,SA,1699915960
40,papatowai,-46.5619,169.4708,61.52,47,21,9.04,NZ,1699915960
41,iskateley,67.6803,53.1512,8.02,97,100,8.01,RU,1699915901
42,island harbour,50.724,-1.2758,57.92,85,63,5.01,GB,1699915960
43,posse,-14.0931,-46.3694,82.0,22,15,3.62,BR,1699915961
44,khovd,48.0056,91.6419,22.42,86,100,1.7,MN,1699915961
45,iqaluit,63.7506,-68.5145,-2.31,70,20,6.91,CA,1699915961
46,sao vicente,-23.9631,-46.3919,98.78,26,14,1.99,BR,1699915961
47,makar'yev,57.8797,43.8069,38.19,78,100,11.77,RU,1699915961
48,mount isa,-20.7333,139.5,89.37,23,4,1.14,AU,1699915961
49,albany,42.6001,-73.9662,38.59,69,99,2.24,US,1699915908
50,necochea,-38.5473,-58.7368,58.78,51,79,12.3,AR,1699915962
51,georgetown,5.4112,100.3354,78.73,92,20,2.3,MY,1699915896
52,ushuaia,-54.8,-68.3,40.62,70,40,32.01,AR,1699915840
53,keflavik,64.0049,-22.5624,44.51,61,75,17.27,IS,1699915962
54,edinburgh of the seven seas,-37.0676,-12.3116,56.52,79,7,25.46,SH,1699915965
55,saldanha,-33.0117,17.9442,69.85,70,7,10.58,ZA,1699915965
56,bredasdorp,-34.5322,20.0403,59.27,82,4,14.94,ZA,1699915966
57,dryden,49.7833,-92.7503,35.89,75,20,4.61,CA,1699915797
58,artigas,-30.4,-56.4667,68.99,98,100,7.52,UY,1699915966
59,blackwater,-23.5833,148.8833,78.69,76,0,7.61,AU,1699915966
60,yellowknife,62.456,-114.3525,18.12,93,100,2.3,CA,1699915966
61,hobyo,5.3505,48.5268,79.72,84,80,4.03,SO,1699915966
62,utrik,11.2278,169.8474,82.69,82,72,18.14,MH,1699915849
63,hami,42.8,93.45,37.6,28,99,12.97,CN,1699915967
64,khanty-mansiysk,61.0042,69.0019,21.31,93,75,8.99,RU,1699915967
65,luderitz,-26.6481,15.1594,61.77,73,0,4.61,NA,1699915967
66,al burayqah,30.4062,19.5739,72.97,62,41,15.57,LY,1699915967
67,adrar,20.5022,-10.0711,75.45,15,7,10.6,MR,1699915967
68,vernon,50.2581,-119.2691,51.3,43,92,8.99,CA,1699915967
69,porto novo,6.4965,2.6036,78.62,86,2,5.48,BJ,1699915769
70,port alfred,-33.5906,26.891,58.17,93,98,11.83,ZA,1699915968
71,port elizabeth,-33.918,25.5701,62.89,78,75,11.5,ZA,1699915968
72,molteno,-31.3968,26.3625,47.34,80,81,16.37,ZA,1699915968
73,tura,25.5198,90.2201,64.58,83,5,3.18,IN,1699915952
74,san patricio,28.017,-97.5169,64.83,91,100,12.28,US,1699915946
75,kone,-21.0595,164.8658,80.35,41,24,5.5,NC,1699915968
76,pamanukan,-6.2842,107.8106,80.91,78,95,4.88,ID,1699915969
77,george town,5.4112,100.3354,78.73,92,20,2.3,MY,1699915969
78,karratha,-20.7377,116.8463,72.57,60,43,13.13,AU,1699915969
79,tiksi,71.6872,128.8694,7.45,90,100,7.85,RU,1699915969
80,ad dabbah,18.05,30.95,82.11,33,84,11.97,SD,1699915969
81,ust-nera,64.5667,143.2,-24.5,98,65,5.03,RU,1699915969
82,weno,7.4515,151.8468,84.15,79,100,5.75,FM,1699915970
83,mpongwe,-13.5091,28.155,68.94,70,86,4.72,ZM,1699915970
84,porto de moz,-1.7483,-52.2383,87.24,42,95,2.55,BR,1699915970
85,aasiaat,68.7098,-52.8699,13.48,85,100,5.44,GL,1699915970
86,margaret river,-33.95,115.0667,59.9,86,99,11.86,AU,1699915970
87,uturoa,-16.7333,-151.4333,80.69,81,98,12.35,PF,1699915970
88,jamestown,42.097,-79.2353,49.59,66,0,11.5,US,1699915688
89,port mathurin,-19.6833,63.4167,76.93,78,0,2.66,MU,1699915971
90,ha'il,27.5219,41.6907,66.22,52,0,4.61,SA,1699915971
91,bonnyville,54.2668,-110.735,40.8,56,100,4.88,CA,1699915971
92,chela,34.069,104.4619,32.38,89,97,1.59,CN,1699915971
93,isafjordur,66.0755,-23.124,34.83,84,82,7.87,IS,1699915971
94,guerrero negro,27.9769,-114.0611,75.97,39,35,12.84,MX,1699915953
95,grand falls-windsor,48.9332,-55.6649,33.51,75,92,1.01,CA,1699915856
96,mabaruma,8.2,-59.7833,78.08,86,18,5.7,GY,1699915972
97,masuguru,-11.3667,38.4167,77.74,80,63,1.32,TZ,1699915972
98,hatillo,18.4863,-66.8254,84.38,84,4,7.0,PR,1699915972
99,lebu,-37.6167,-73.65,52.9,75,29,7.58,CL,1699915972
100,nelson bay,-32.7167,152.15,72.1,72,12,17.0,AU,1699915972
101,wotho,10.1657,166.0102,82.58,84,100,19.35,MH,1699915972
102,inirida,3.8653,-67.9239,78.15,91,100,1.74,CO,1699915973
103,shingu,33.7333,135.9833,50.38,72,5,5.53,JP,1699915973
104,salalah,17.0151,54.0924,80.69,89,40,3.44,OM,1699915973
105,douz,33.4663,9.0203,62.78,69,0,1.86,TN,1699915973
106,olonkinbyen,70.9221,-8.7187,28.02,69,95,6.46,SJ,1699915973
107,la sarre,48.8002,-79.1996,33.55,100,100,7.02,CA,1699915973
108,charters towers,-20.1,146.2667,78.94,38,0,11.14,AU,1699915917
109,axim,4.8699,-2.2405,79.05,88,2,6.13,GH,1699915973
110,flin flon,54.7682,-101.865,31.84,86,100,3.44,CA,1699915974
111,kaihua,23.3687,104.28,55.56,98,100,3.36,CN,1699915974
112,bamboo flat,11.7,92.7167,82.49,78,100,6.91,IN,1699915974
113,lazaro cardenas,17.9583,-102.2,84.83,74,38,7.72,MX,1699915839
114,okhotsk,59.3833,143.3,1.47,80,98,14.65,RU,1699915974
115,freetown,8.484,-13.2299,80.06,86,31,4.5,SL,1699915974
116,avarua,-21.2078,-159.775,75.25,64,75,8.05,CK,1699915974
117,lompoc,34.6391,-120.4579,73.78,61,0,14.97,US,1699915853
118,deir ez-zor,35.3359,40.1408,71.04,30,60,7.85,SY,1699915975
119,chonchi,-42.6128,-73.8092,45.61,73,59,6.35,CL,1699915975
120,negombo,7.2083,79.8358,77.05,100,20,0.0,LK,1699915975
121,murashi,59.3999,48.9615,38.21,92,100,11.07,RU,1699915975
122,labrador city,52.9463,-66.9114,15.71,92,100,4.61,CA,1699915975
123,puerto supe,-10.8167,-77.75,68.18,82,74,10.33,PE,1699915976
124,alice springs,-23.7,133.8833,83.75,20,15,14.97,AU,1699915976
125,siuna,13.7332,-84.7773,74.7,96,100,1.61,NI,1699915976
126,ancud,-41.8697,-73.8203,47.62,60,26,12.64,CL,1699915976
127,ta`u,-14.2336,-169.5144,82.58,81,85,12.08,AS,1699915976
128,chegutu,-18.1302,30.1407,72.84,43,48,9.78,ZW,1699915976
129,orange walk,17.8333,-88.8333,74.23,99,100,2.13,BZ,1699915976
130,namdrik,5.5994,168.1028,82.22,76,100,6.08,MH,1699915977
131,hopelchen,19.7667,-89.85,82.94,63,80,0.63,MX,1699915977
132,cockburn town,21.4612,-71.1419,82.4,77,1,18.59,TC,1699915977
133,akureyri,65.6835,-18.0878,35.53,80,40,6.91,IS,1699915977
134,longyearbyen,78.2186,15.6401,13.84,73,75,6.91,SJ,1699915822
135,ribeira grande,38.5167,-28.7,59.77,91,100,5.01,PT,1699915977
136,bikaner,28.0167,73.3,67.86,34,100,7.07,IN,1699915977
137,ketchikan,55.3422,-131.6461,43.34,65,0,8.05,US,1699915978
138,wittingen,52.7269,10.7361,51.8,100,52,19.3,DE,1699915978
139,tacna,-18.0056,-70.2483,62.8,82,100,9.22,PE,1699915978
140,shumen,43.2706,26.9229,44.69,67,1,2.59,BG,1699915978
141,vila velha,-20.3297,-40.2925,80.94,82,0,10.36,BR,1699915978
142,kiunga,-6.1219,141.2906,82.15,69,37,1.01,PG,1699915945
143,remire-montjoly,4.9167,-52.2667,80.64,83,0,1.14,GF,1699915978
144,enewetak,11.3474,162.3373,83.12,80,96,18.63,MH,1699915979
145,zambezi,-13.5432,23.1047,70.0,75,91,4.65,ZM,1699915979
146,afaahiti,-17.75,-149.2833,82.27,84,100,10.22,PF,1699915979
147,burang,30.25,81.1667,23.5,54,34,3.24,CN,1699915979
148,hawaiian paradise park,19.5933,-154.9731,81.9,75,75,8.05,US,1699915951
149,la passe,45.5549,-0.8967,62.83,95,100,14.16,FR,1699915979
150,rio preto da eva,-2.6994,-59.6997,86.18,51,100,2.26,BR,1699915979
151,gaigeturi,33.4644,126.3183,51.85,50,75,4.61,KR,1699915966
152,tursunzoda,38.5144,68.2333,52.79,31,0,6.46,TJ,1699915980
153,mount pearl,47.5166,-52.7813,32.14,80,100,5.75,CA,1699915958
154,villa la angostura,-40.7617,-71.6463,37.44,98,100,10.18,AR,1699915980
155,eenhana,-17.4667,16.3333,78.91,36,78,3.38,NA,1699915980
156,vilyuchinsk,52.9306,158.4028,27.93,79,100,7.78,RU,1699915871
157,dakhla,23.6848,-15.958,70.3,69,61,11.16,EH,1699915980
158,sitka,57.0531,-135.33,40.89,70,75,5.75,US,1699915978
159,whitehorse,60.7161,-135.0538,23.02,86,100,18.41,CA,1699915981
160,tsiombe,-25.3,45.4833,70.84,80,93,3.53,MG,1699915981
161,wailua homesteads,22.0669,-159.378,82.83,70,75,16.11,US,1699915981
162,watampone,-4.5386,120.3279,80.83,77,92,1.59,ID,1699915981
163,tindouf,27.6711,-8.1474,70.25,30,0,4.61,DZ,1699915981
164,new norfolk,-42.7826,147.0587,58.91,44,78,5.82,AU,1699915982
165,red hill,33.9996,-79.2581,60.66,79,47,2.84,US,1699915982
166,harper,4.375,-7.7169,78.71,88,2,7.4,LR,1699915982
167,bikenibeu village,1.3673,173.1241,82.98,78,99,14.7,KI,1699915982
168,san ignacio de velasco,-16.3667,-60.95,89.49,43,76,8.19,BO,1699915982
169,lerwick,60.1545,-1.1494,46.4,73,91,16.89,GB,1699915982
170,amos,48.5669,-78.1162,32.5,99,100,5.93,CA,1699915933
171,nova sintra,14.8667,-24.7167,74.84,72,79,8.99,CV,1699915983
172,taoudenni,22.6783,-3.9836,78.8,17,4,14.18,ML,1699915983
173,naze,28.3667,129.4833,58.12,65,88,9.31,JP,1699915983
174,saint-joseph,-21.3667,55.6167,71.47,83,77,5.06,RE,1699915983
175,pita,10.8333,-12.5833,73.2,39,2,4.21,GN,1699915983
176,boguchany,58.3814,97.4531,33.85,97,100,10.0,RU,1699915984
177,barabai,-2.5833,115.3833,75.88,93,94,1.28,ID,1699915984
178,ust-tsilma,65.441,52.1498,22.6,95,100,3.0,RU,1699915984
179,veitsbronn,49.5124,10.888,53.76,87,75,11.5,DE,1699915984
180,joshimath,30.5667,79.5667,50.4,30,98,6.87,IN,1699915985
181,praia da vitoria,38.7333,-27.0667,60.76,94,75,5.53,PT,1699915985
182,mount gambier,-37.8333,140.7667,54.1,82,100,1.39,AU,1699915985
183,saint-laurent-du-maroni,5.5039,-54.0289,78.21,87,13,5.37,GF,1699915985
184,belton,38.812,-94.5319,69.46,45,0,8.05,US,1699915847
185,lianzhou,24.7811,112.3825,47.82,88,99,3.15,CN,1699915986
186,papao,-17.75,-149.55,83.88,88,100,12.41,PF,1699915986
187,berdigestyakh,62.0989,126.6992,-7.06,100,100,3.44,RU,1699915986
188,oyon,-10.6681,-76.7731,50.67,85,100,2.19,PE,1699915987
189,izluchinsk,60.9794,76.9242,15.82,97,65,3.33,RU,1699915987
190,sarmiento,-45.5882,-69.07,47.73,35,44,34.4,AR,1699915987
191,alaghsas,17.0187,8.0168,74.37,15,1,10.54,NE,1699915987
192,hammerfest,70.6634,23.6821,27.05,86,20,4.61,NO,1699915988
193,anacapri,40.5558,14.2136,62.13,89,40,6.91,IT,1699915988
194,guanica,17.9716,-66.908,84.51,70,5,9.91,PR,1699915988
195,fiambala,-27.6871,-67.6149,68.94,32,2,9.42,AR,1699915988
196,achinsk,56.2694,90.4993,34.2,85,100,11.01,RU,1699915989
197,indianola,41.3581,-93.5574,64.2,38,2,5.68,US,1699915989
198,farafangana,-22.8167,47.8333,72.05,91,28,5.7,MG,1699915989
199,port isabel,26.0734,-97.2086,64.44,90,100,21.85,US,1699915989
200,hermanus,-34.4187,19.2345,60.44,79,4,20.0,ZA,1699915989
201,lata,40.1629,-8.3327,60.93,94,43,3.51,PT,1699915990
202,vigan,17.5747,120.3869,82.92,93,67,12.19,PH,1699915990
203,myrina,39.8797,25.0742,51.04,87,0,0.0,GR,1699915990
204,ulsteinvik,62.3432,5.8487,37.76,75,0,8.99,NO,1699915990
205,altamira,-3.2033,-52.2064,89.71,36,64,2.06,BR,1699915990
206,shenyang,41.7922,123.4328,19.42,79,51,4.47,CN,1699915882
207,tubarjal,30.4999,38.216,70.29,38,55,8.52,SA,1699915991
208,haiku-pauwela,20.9219,-156.3051,83.17,55,0,23.02,US,1699915853
209,susuman,62.7833,148.1667,-28.23,99,79,0.6,RU,1699915991
210,khao yoi,13.2403,99.8243,75.27,94,96,6.51,TH,1699915991
211,rongelap,11.1635,166.8941,82.49,84,100,17.52,MH,1699915991
212,holualoa,19.6228,-155.9522,82.54,67,40,9.22,US,1699915992
213,bechar,31.6167,-2.2167,62.92,25,0,0.0,DZ,1699915992
214,fale old settlement,-9.3852,-171.2468,83.07,77,100,15.32,TK,1699915940
215,scotts valley,37.0511,-122.0147,72.18,72,68,3.0,US,1699915992
216,chui,-33.6971,-53.4616,60.96,89,100,12.62,UY,1699915907
217,mata-utu,-13.2816,-176.1745,83.95,74,52,8.57,WF,1699915992
218,kavieng,-2.5744,150.7967,82.94,69,100,4.63,PG,1699915993
219,leava,-14.3,-178.1667,83.26,84,96,14.2,WF,1699915993
220,santiago,-33.4569,-70.6483,71.04,37,0,9.22,CL,1699915708
221,richards bay,-28.783,32.0377,63.93,84,100,10.51,ZA,1699915993
222,kodiak,57.79,-152.4072,44.11,49,20,18.41,US,1699915839
223,tateyama,34.9833,139.8667,54.39,49,2,4.74,JP,1699915993
224,geraldton,-28.7667,114.6,70.21,83,100,9.22,AU,1699915994
225,ola,59.5833,151.2833,3.18,78,80,12.84,RU,1699915994
226,mustafakemalpasa,40.0353,28.4117,53.65,86,85,1.01,TR,1699915994
227,atafu village,-8.5421,-172.5159,84.07,78,95,9.62,TK,1699915852
228,podporozh'ye,60.9112,34.1706,32.02,95,100,5.26,RU,1699915994
229,baoro,5.6667,15.9667,69.71,92,64,2.1,CF,1699915994
230,coquimbo,-29.9533,-71.3436,64.13,63,0,13.8,CL,1699915995
231,farap,39.1704,63.6116,41.0,75,0,4.61,TM,1699915995
232,ushirombo,-3.4919,31.9639,64.72,96,100,2.24,TZ,1699915995
233,constantia,44.1833,28.65,36.28,51,0,8.97,RO,1699915995
234,saint-denis,48.9167,2.3333,55.89,84,75,16.11,FR,1699915995
235,petropavlovsk-kamchatsky,53.0452,158.6483,26.46,74,0,28.01,RU,1699915958
236,aleksandrov gay,50.147,48.5704,43.57,88,97,7.56,RU,1699915996
237,mana,5.6592,-53.7767,79.84,86,21,11.18,GF,1699915996
238,williams,52.1415,-122.1445,44.06,48,40,4.61,CA,1699915996
239,qinzhou,21.95,108.6167,53.69,77,91,10.96,CN,1699915996
240,chibougamau,49.9168,-74.3659,24.42,86,100,11.5,CA,1699915996
241,dazhou,31.2159,107.5009,49.96,89,100,0.63,CN,1699915996
242,san antonio de pale,-1.4014,5.6325,79.47,82,63,9.04,GQ,1699915997
243,brzeg,50.8608,17.4674,44.31,84,100,13.2,PL,1699915997
244,hamilton,39.1834,-84.5333,59.63,39,20,10.36,US,1699915715
245,yambio,4.5721,28.3955,69.89,97,98,3.91,SS,1699915997
246,alice town,25.7167,-79.3,78.39,77,96,15.14,BS,1699915997
247,vallegrande,-18.4897,-64.1069,65.98,70,85,6.89,BO,1699915997
248,tual,-5.6667,132.75,81.73,76,28,7.92,ID,1699915998
249,usinsk,65.9939,57.5281,15.08,87,100,7.0,RU,1699915998
250,kapa'a,22.0752,-159.319,84.18,70,75,16.11,US,1699915998
251,horta,38.5333,-28.6333,59.02,91,100,5.01,PT,1699915998
252,college,64.8569,-147.8028,28.35,90,100,4.61,US,1699915879
253,sinop,41.7711,34.8709,54.79,92,100,3.6,TR,1699915998
254,labasa,-16.4167,179.3833,85.84,69,100,12.26,FJ,1699915999
255,waddan,29.1614,16.139,65.32,68,77,6.26,LY,1699915999
256,gadzhiyevo,69.2551,33.3362,16.34,96,99,2.13,RU,1699915999
257,ibarreta,-25.2144,-59.8585,69.31,94,100,8.12,AR,1699915999
258,ryotsu-minato,38.0833,138.4333,50.5,67,100,15.95,JP,1699915999
259,dudinka,69.4058,86.1778,9.63,86,74,11.63,RU,1699915999
260,nishinoomote,30.7333,131.0,60.21,51,11,4.72,JP,1699916000
261,coahuayana de hidalgo,18.7,-103.6583,86.65,65,48,4.99,MX,1699916000
262,sinaloa de leyva,25.8333,-108.2333,89.44,30,0,6.44,MX,1699916000
263,selkirk,50.1436,-96.8845,42.87,83,100,1.01,CA,1699916000
264,kochenevo,55.0218,82.202,31.39,94,100,10.2,RU,1699916001
265,minas de marcona,-15.2119,-75.1103,58.78,85,73,14.45,PE,1699915993
266,humaita,-7.5061,-63.0208,78.37,85,98,2.98,BR,1699916001
267,vorgashor,67.5833,63.95,1.62,93,96,6.69,RU,1699916001
268,yuzhno-kurilsk,44.0306,145.8556,36.37,80,100,20.0,RU,1699915983
269,pryluky,50.5932,32.3876,37.49,88,11,7.43,UA,1699916001
